     Omega          A(Omega)
-1.500    0.1988
-1.485    0.2113
-1.470    0.2260
-1.455    0.2440
-1.440    0.2665
-1.425    0.2955
-1.410    0.3338
-1.395    0.3857
-1.380    0.4567
-1.365    0.5502
-1.350    0.6567
-1.335    0.7372
-1.320    0.7415
-1.305    0.6742
-1.290    0.5881
-1.275    0.5182
-1.260    0.4715
-1.245    0.4441
-1.230    0.4314
-1.215    0.4296
-1.200    0.4366
-1.185    0.4506
-1.170    0.4696
-1.155    0.4881
-1.140    0.5035
-1.125    0.5183
-1.110    0.5371
-1.095    0.5622
-1.080    0.5950
-1.065    0.6343
-1.050    0.6773
-1.035    0.7189
-1.020    0.7578
-1.005    0.7992
-0.990    0.8486
-0.975    0.9082
-0.960    0.9794
-0.945    1.0633
-0.930    1.1615
-0.915    1.2767
-0.900    1.4120
-0.885    1.5721
-0.870    1.7626
-0.855    1.9917
-0.840    2.2700
-0.825    2.6128
-0.810    3.0374
-0.795    3.5749
-0.780    4.2703
-0.765    5.1797
-0.750    6.3973
-0.735    8.0636
-0.720   10.3919
-0.705   13.6945
-0.690   18.3654
-0.675   24.6547
-0.660   31.8576
-0.645   37.0865
-0.630   36.6369
-0.615   30.8855
-0.600   23.7029
-0.585   17.6420
-0.570   13.1942
-0.555   10.0593
-0.540    7.8487
-0.525    6.2649
-0.510    5.1064
-0.495    4.2410
-0.480    3.5818
-0.465    3.0705
-0.450    2.6677
-0.435    2.3461
-0.420    2.0863
-0.405    1.8744
-0.390    1.7002
-0.375    1.5561
-0.360    1.4364
-0.345    1.3368
-0.330    1.2539
-0.315    1.1853
-0.300    1.1288
-0.285    1.0830
-0.270    1.0467
-0.255    1.0190
-0.240    0.9992
-0.225    0.9870
-0.210    0.9820
-0.195    0.9842
-0.180    0.9937
-0.165    1.0109
-0.150    1.0361
-0.135    1.0703
-0.120    1.1144
-0.105    1.1699
-0.090    1.2385
-0.075    1.3226
-0.060    1.4255
-0.045    1.5514
-0.030    1.7058
-0.015    1.8964
-0.000    2.1337
 0.015    2.4324
 0.030    2.8133
 0.045    3.3068
 0.060    3.9577
 0.075    4.8337
 0.090    6.0377
 0.105    7.7255
 0.120   10.1202
 0.135   13.4833
 0.150   17.8989
 0.165   22.6188
 0.180   25.3966
 0.195   24.1564
 0.210   19.9635
 0.225   15.3951
 0.240   11.7599
 0.255    9.1937
 0.270    7.4696
 0.285    6.3566
 0.300    5.6958
 0.315    5.3994
 0.330    5.4375
 0.345    5.8314
 0.360    6.6598
 0.375    8.0296
 0.390    9.9942
 0.405   12.2620
 0.420   13.7835
 0.435   13.3487
 0.450   11.2246
 0.465    8.7291
 0.480    6.6506
 0.495    5.1167
 0.510    4.0235
 0.525    3.2457
 0.540    2.6832
 0.555    2.2630
 0.570    1.9359
 0.585    1.6757
 0.600    1.4688
 0.615    1.3056
 0.630    1.1775
 0.645    1.0784
 0.660    1.0049
 0.675    0.9563
 0.690    0.9334
 0.705    0.9388
 0.720    0.9710
 0.735    1.0108
 0.750    1.0118
 0.765    0.9406
 0.780    0.8241
 0.795    0.7086
 0.810    0.6141
 0.825    0.5413
 0.840    0.4851
 0.855    0.4409
 0.870    0.4051
 0.885    0.3754
 0.900    0.3502
 0.915    0.3285
 0.930    0.3094
 0.945    0.2926
 0.960    0.2775
 0.975    0.2639
 0.990    0.2515
 1.005    0.2401
 1.020    0.2297
 1.035    0.2202
 1.050    0.2113
 1.065    0.2051
 1.080    0.1978
 1.095    0.1913
 1.110    0.1853
 1.125    0.1801
 1.140    0.1758
 1.155    0.1723
 1.170    0.1704
 1.185    0.1697
 1.200    0.1707
 1.215    0.1724
 1.230    0.1720
 1.245    0.1665
 1.260    0.1573
 1.275    0.1473
 1.290    0.1383
 1.305    0.1311
 1.320    0.1252
 1.335    0.1202
 1.350    0.1158
 1.365    0.1117
 1.380    0.1087
 1.395    0.1056
 1.410    0.1028
 1.425    0.0993
 1.440    0.0950
 1.455    0.0928
 1.470    0.0906
 1.485    0.0885
