     Omega          A(Omega)
-1.500    0.1541
-1.485    0.1589
-1.470    0.1639
-1.455    0.1693
-1.440    0.1749
-1.425    0.1807
-1.410    0.1869
-1.395    0.1935
-1.380    0.2004
-1.365    0.2077
-1.350    0.2155
-1.335    0.2237
-1.320    0.2324
-1.305    0.2416
-1.290    0.2515
-1.275    0.2620
-1.260    0.2732
-1.245    0.2852
-1.230    0.2980
-1.215    0.3118
-1.200    0.3265
-1.185    0.3424
-1.170    0.3596
-1.155    0.3782
-1.140    0.3983
-1.125    0.4201
-1.110    0.4439
-1.095    0.4698
-1.080    0.4983
-1.065    0.5295
-1.050    0.5638
-1.035    0.6018
-1.020    0.6439
-1.005    0.6909
-0.990    0.7433
-0.975    0.8023
-0.960    0.8688
-0.945    0.9442
-0.930    1.0303
-0.915    1.1292
-0.900    1.2434
-0.885    1.3765
-0.870    1.5326
-0.855    1.7175
-0.840    1.9386
-0.825    2.2060
-0.810    2.5332
-0.795    2.9391
-0.780    3.4502
-0.765    4.1051
-0.750    4.9598
-0.735    6.0986
-0.720    7.6490
-0.705    9.8038
-0.690   12.8424
-0.675   17.1122
-0.660   22.8327
-0.645   29.4895
-0.630   35.1001
-0.615   36.8352
-0.600   33.4342
-0.585   26.9219
-0.570   20.3729
-0.555   15.2129
-0.540   11.4972
-0.525    8.8769
-0.510    7.0146
-0.495    5.6668
-0.480    4.6708
-0.465    3.9196
-0.450    3.3425
-0.435    2.8917
-0.420    2.5345
-0.405    2.2482
-0.390    2.0162
-0.375    1.8269
-0.360    1.6715
-0.345    1.5434
-0.330    1.4379
-0.315    1.3511
-0.300    1.2802
-0.285    1.2231
-0.270    1.1780
-0.255    1.1439
-0.240    1.1197
-0.225    1.1048
-0.210    1.0991
-0.195    1.1024
-0.180    1.1148
-0.165    1.1369
-0.150    1.1694
-0.135    1.2134
-0.120    1.2703
-0.105    1.3423
-0.090    1.4320
-0.075    1.5431
-0.060    1.6804
-0.045    1.8506
-0.030    2.0626
-0.015    2.3289
-0.000    2.6673
 0.015    3.1031
 0.030    3.6735
 0.045    4.4342
 0.060    5.4696
 0.075    6.9081
 0.090    8.9413
 0.105   11.8263
 0.120   15.7947
 0.135   20.6462
 0.150   24.8984
 0.165   25.8945
 0.180   22.8488
 0.195   18.0645
 0.210   13.7275
 0.225   10.4947
 0.240    8.2503
 0.255    6.7330
 0.270    5.7306
 0.285    5.1039
 0.300    4.7732
 0.315    4.7042
 0.330    4.9019
 0.345    5.4112
 0.360    6.3199
 0.375    7.7478
 0.390    9.7569
 0.405   12.0550
 0.420   13.5959
 0.435   13.1707
 0.450   11.0480
 0.465    8.5515
 0.480    6.4780
 0.495    4.9557
 0.510    3.8735
 0.525    3.1004
 0.540    2.5377
 0.555    2.1186
 0.570    1.7993
 0.585    1.5507
 0.600    1.3535
 0.615    1.1942
 0.630    1.0636
 0.645    0.9551
 0.660    0.8638
 0.675    0.7862
 0.690    0.7195
 0.705    0.6618
 0.720    0.6114
 0.735    0.5671
 0.750    0.5278
 0.765    0.4930
 0.780    0.4618
 0.795    0.4337
 0.810    0.4084
 0.825    0.3854
 0.840    0.3645
 0.855    0.3454
 0.870    0.3279
 0.885    0.3119
 0.900    0.2970
 0.915    0.2834
 0.930    0.2707
 0.945    0.2589
 0.960    0.2479
 0.975    0.2377
 0.990    0.2282
 1.005    0.2192
 1.020    0.2109
 1.035    0.2030
 1.050    0.1956
 1.065    0.1886
 1.080    0.1820
 1.095    0.1758
 1.110    0.1699
 1.125    0.1644
 1.140    0.1591
 1.155    0.1541
 1.170    0.1493
 1.185    0.1448
 1.200    0.1405
 1.215    0.1364
 1.230    0.1325
 1.245    0.1287
 1.260    0.1252
 1.275    0.1217
 1.290    0.1185
 1.305    0.1153
 1.320    0.1123
 1.335    0.1095
 1.350    0.1067
 1.365    0.1040
 1.380    0.1015
 1.395    0.0990
 1.410    0.0967
 1.425    0.0944
 1.440    0.0922
 1.455    0.0901
 1.470    0.0881
 1.485    0.0861
